CustomerID,Customer,Channel,Segment,StoreSize,CreditTermsDays,RouteID,DistributorID,RegionID,Region,State,OpenedYear
C00100,Customer 00100,E-commerce,Micro,Medium,21,RT0007,D001,R1,North,Kaduna,2016
C00101,Customer 00101,HoReCa,Micro,Medium,30,RT0007,D001,R1,North,Kaduna,2022
C00102,Customer 00102,Modern Trade,Micro,Large,21,RT0007,D001,R1,North,Kaduna,2021
C00103,Customer 00103,General Trade,SME,Small,14,RT0007,D001,R1,North,Kaduna,2024
C00104,Customer 00104,Modern Trade,Micro,Small,21,RT0008,D002,R1,North,Abuja,2018
C00105,Customer 00105,HoReCa,Micro,Large,21,RT0008,D002,R1,North,Abuja,2023
C00106,Customer 00106,Wholesale,SME,Medium,0,RT0008,D002,R1,North,Abuja,2021
C00107,Customer 00107,General Trade,Mid-market,Small,14,RT0008,D002,R1,North,Abuja,2019
C00108,Customer 00108,Wholesale,Key Account,Medium,21,RT0008,D002,R1,North,Abuja,2022
C00109,Customer 00109,General Trade,SME,Medium,14,RT0008,D002,R1,North,Abuja,2018
C00110,Customer 00110,General Trade,Micro,Small,21,RT0008,D002,R1,North,Abuja,2020
C00111,Customer 00111,HoReCa,Micro,Large,14,RT0008,D002,R1,North,Abuja,2022
C00112,Customer 00112,General Trade,SME,Medium,21,RT0008,D002,R1,North,Abuja,2024
C00113,Customer 00113,Wholesale,SME,Small,30,RT0008,D002,R1,North,Abuja,2018
C00114,Customer 00114,General Trade,SME,Small,7,RT0008,D002,R1,North,Abuja,2018
C00115,Customer 00115,General Trade,Key Account,Large,7,RT0008,D002,R1,North,Abuja,2019
C00116,Customer 00116,Modern Trade,Mid-market,Large,30,RT0008,D002,R1,North,Abuja,2016
C00117,Customer 00117,General Trade,Micro,Large,7,RT0008,D002,R1,North,Abuja,2021
C00118,Customer 00118,General Trade,Micro,Small,30,RT0008,D002,R1,North,Abuja,2021
C00119,Customer 00119,Modern Trade,SME,Small,7,RT0008,D002,R1,North,Abuja,2018
C00120,Customer 00120,General Trade,Micro,Small,0,RT0008,D002,R1,North,Abuja,2024
C00121,Customer 00121,HoReCa,Micro,Large,7,RT0008,D002,R1,North,Abuja,2019
C00122,Customer 00122,Wholesale,SME,Small,30,RT0008,D002,R1,North,Abuja,2018
C00123,Customer 00123,Wholesale,Key Account,Large,30,RT0009,D002,R1,North,Abuja,2020
C00124,Customer 00124,General Trade,Mid-market,Medium,0,RT0009,D002,R1,North,Abuja,2023
C00125,Customer 00125,General Trade,SME,Large,21,RT0009,D002,R1,North,Abuja,2018
C00126,Customer 00126,General Trade,Key Account,Medium,0,RT0009,D002,R1,North,Abuja,2020
C00127,Customer 00127,E-commerce,Mid-market,Large,30,RT0009,D002,R1,North,Abuja,2016
C00128,Customer 00128,HoReCa,SME,Large,21,RT0009,D002,R1,North,Abuja,2021
C00129,Customer 00129,Modern Trade,Micro,Medium,21,RT0009,D002,R1,North,Abuja,2023
C00130,Customer 00130,General Trade,Mid-market,Small,7,RT0009,D002,R1,North,Abuja,2018
C00131,Customer 00131,HoReCa,Mid-market,Medium,7,RT0009,D002,R1,North,Abuja,2023
C00132,Customer 00132,E-commerce,SME,Medium,0,RT0009,D002,R1,North,Abuja,2022
C00133,Customer 00133,General Trade,Micro,Small,14,RT0009,D002,R1,North,Abuja,2022
C00134,Customer 00134,General Trade,Mid-market,Small,7,RT0009,D002,R1,North,Abuja,2020
C00135,Customer 00135,General Trade,SME,Small,21,RT0009,D002,R1,North,Abuja,2017
C00136,Customer 00136,General Trade,Key Account,Medium,21,RT0009,D002,R1,North,Abuja,2019
C00137,Customer 00137,General Trade,Micro,Medium,0,RT0009,D002,R1,North,Abuja,2022
C00138,Customer 00138,HoReCa,Mid-market,Large,30,RT0009,D002,R1,North,Abuja,2020
C00139,Customer 00139,General Trade,Key Account,Large,30,RT0009,D002,R1,North,Abuja,2021
C00140,Customer 00140,Modern Trade,SME,Small,0,RT0010,D002,R1,North,Abuja,2022
C00141,Customer 00141,General Trade,Micro,Small,0,RT0010,D002,R1,North,Abuja,2017
C00142,Customer 00142,General Trade,Micro,Small,21,RT0010,D002,R1,North,Abuja,2020
C00143,Customer 00143,Wholesale,Mid-market,Large,30,RT0010,D002,R1,North,Abuja,2018
C00144,Customer 00144,General Trade,Micro,Large,0,RT0010,D002,R1,North,Abuja,2022
C00145,Customer 00145,HoReCa,Micro,Large,30,RT0010,D002,R1,North,Abuja,2020
C00146,Customer 00146,General Trade,SME,Medium,21,RT0010,D002,R1,North,Abuja,2018
C00147,Customer 00147,Wholesale,Micro,Small,21,RT0010,D002,R1,North,Abuja,2020
C00148,Customer 00148,General Trade,Mid-market,Small,0,RT0010,D002,R1,North,Abuja,2020
C00149,Customer 00149,Modern Trade,Key Account,Large,14,RT0010,D002,R1,North,Abuja,2023
C00150,Customer 00150,E-commerce,Mid-market,Medium,0,RT0010,D002,R1,North,Abuja,2021
C00151,Customer 00151,Modern Trade,Mid-market,Medium,14,RT0010,D002,R1,North,Abuja,2017
C00152,Customer 00152,Modern Trade,SME,Small,14,RT0010,D002,R1,North,Abuja,2024
C00153,Customer 00153,General Trade,Key Account,Medium,7,RT0011,D002,R1,North,Abuja,2021
C00154,Customer 00154,General Trade,SME,Medium,21,RT0011,D002,R1,North,Abuja,2016
C00155,Customer 00155,General Trade,Mid-market,Medium,30,RT0011,D002,R1,North,Abuja,2017
C00156,Customer 00156,General Trade,SME,Medium,14,RT0011,D002,R1,North,Abuja,2016
C00157,Customer 00157,General Trade,SME,Small,7,RT0011,D002,R1,North,Abuja,2016
C00158,Customer 00158,General Trade,SME,Small,14,RT0011,D002,R1,North,Abuja,2021
C00159,Customer 00159,Wholesale,Mid-market,Small,7,RT0011,D002,R1,North,Abuja,2021
C00160,Customer 00160,Wholesale,Key Account,Large,0,RT0011,D002,R1,North,Abuja,2020
C00161,Customer 00161,Wholesale,Micro,Medium,30,RT0011,D002,R1,North,Abuja,2019
C00162,Customer 00162,Wholesale,Mid-market,Large,21,RT0011,D002,R1,North,Abuja,2022
C00163,Customer 00163,General Trade,Key Account,Small,7,RT0012,D003,R1,North,Abuja,2022
C00164,Customer 00164,Modern Trade,SME,Small,21,RT0012,D003,R1,North,Abuja,2019
C00165,Customer 00165,General Trade,Micro,Medium,7,RT0012,D003,R1,North,Abuja,2016
C00166,Customer 00166,General Trade,Key Account,Medium,7,RT0012,D003,R1,North,Abuja,2020
C00167,Customer 00167,General Trade,Mid-market,Medium,0,RT0012,D003,R1,North,Abuja,2019
C00168,Customer 00168,General Trade,Micro,Small,30,RT0012,D003,R1,North,Abuja,2019
C00169,Customer 00169,Wholesale,SME,Medium,30,RT0012,D003,R1,North,Abuja,2020
C00170,Customer 00170,Modern Trade,SME,Small,0,RT0012,D003,R1,North,Abuja,2019
C00171,Customer 00171,Modern Trade,SME,Medium,21,RT0012,D003,R1,North,Abuja,2024
C00172,Customer 00172,General Trade,SME,Small,7,RT0012,D003,R1,North,Abuja,2022
C00173,Customer 00173,General Trade,Micro,Small,14,RT0012,D003,R1,North,Abuja,2021
C00174,Customer 00174,General Trade,SME,Small,0,RT0012,D003,R1,North,Abuja,2019
C00175,Customer 00175,General Trade,SME,Small,14,RT0012,D003,R1,North,Abuja,2021
C00176,Customer 00176,General Trade,SME,Small,7,RT0012,D003,R1,North,Abuja,2023
C00177,Customer 00177,General Trade,SME,Small,7,RT0012,D003,R1,North,Abuja,2018
C00178,Customer 00178,General Trade,Micro,Small,7,RT0012,D003,R1,North,Abuja,2020
C00179,Customer 00179,Modern Trade,Mid-market,Medium,21,RT0012,D003,R1,North,Abuja,2024
C00180,Customer 00180,General Trade,SME,Small,14,RT0012,D003,R1,North,Abuja,2019
C00181,Customer 00181,Modern Trade,Micro,Medium,21,RT0012,D003,R1,North,Abuja,2023
C00182,Customer 00182,General Trade,Mid-market,Medium,0,RT0013,D003,R1,North,Abuja,2020
C00183,Customer 00183,HoReCa,Key Account,Small,21,RT0013,D003,R1,North,Abuja,2023
C00184,Customer 00184,General Trade,SME,Small,0,RT0013,D003,R1,North,Abuja,2024
C00185,Customer 00185,E-commerce,Key Account,Large,21,RT0013,D003,R1,North,Abuja,2023
C00186,Customer 00186,General Trade,SME,Small,14,RT0013,D003,R1,North,Abuja,2017
C00187,Customer 00187,General Trade,SME,Medium,0,RT0013,D003,R1,North,Abuja,2021
C00188,Customer 00188,E-commerce,Mid-market,Medium,21,RT0013,D003,R1,North,Abuja,2023
C00189,Customer 00189,General Trade,SME,Medium,30,RT0013,D003,R1,North,Abuja,2021
C00190,Customer 00190,General Trade,SME,Medium,14,RT0013,D003,R1,North,Abuja,2016
C00191,Customer 00191,HoReCa,SME,Medium,7,RT0013,D003,R1,North,Abuja,2021
C00192,Customer 00192,General Trade,SME,Small,14,RT0013,D003,R1,North,Abuja,2024
C00193,Customer 00193,General Trade,Micro,Small,21,RT0013,D003,R1,North,Abuja,2022
C00194,Customer 00194,Modern Trade,Micro,Medium,14,RT0013,D003,R1,North,Abuja,2019
C00195,Customer 00195,Modern Trade,Micro,Medium,30,RT0013,D003,R1,North,Abuja,2019
C00196,Customer 00196,Wholesale,Mid-market,Medium,0,RT0013,D003,R1,North,Abuja,2019
C00197,Customer 00197,General Trade,SME,Small,7,RT0014,D003,R1,North,Abuja,2018
C00198,Customer 00198,General Trade,Mid-market,Small,14,RT0014,D003,R1,North,Abuja,2021
C00199,Customer 00199,Modern Trade,SME,Small,30,RT0014,D003,R1,North,Abuja,2020
C00200,Customer 00200,General Trade,Key Account,Medium,7,RT0014,D003,R1,North,Abuja,2019
C00201,Customer 00201,Modern Trade,SME,Medium,30,RT0014,D003,R1,North,Abuja,2022
C00202,Customer 00202,Wholesale,Micro,Small,7,RT0014,D003,R1,North,Abuja,2016
C00203,Customer 00203,Modern Trade,Micro,Small,30,RT0014,D003,R1,North,Abuja,2016
C00204,Customer 00204,HoReCa,SME,Small,21,RT0014,D003,R1,North,Abuja,2018
C00205,Customer 00205,General Trade,SME,Medium,14,RT0014,D003,R1,North,Abuja,2018
C00206,Customer 00206,Modern Trade,Micro,Small,14,RT0014,D003,R1,North,Abuja,2017
C00207,Customer 00207,General Trade,SME,Small,14,RT0014,D003,R1,North,Abuja,2022
C00208,Customer 00208,General Trade,SME,Small,30,RT0014,D003,R1,North,Abuja,2020
C00209,Customer 00209,Wholesale,SME,Small,21,RT0014,D003,R1,North,Abuja,2024
C00210,Customer 00210,Modern Trade,Micro,Medium,14,RT0014,D003,R1,North,Abuja,2018
C00211,Customer 00211,Modern Trade,SME,Medium,30,RT0014,D003,R1,North,Abuja,2019
C00212,Customer 00212,General Trade,Micro,Small,21,RT0014,D003,R1,North,Abuja,2019
C00213,Customer 00213,Modern Trade,Mid-market,Medium,21,RT0014,D003,R1,North,Abuja,2021
C00214,Customer 00214,General Trade,Micro,Medium,0,RT0014,D003,R1,North,Abuja,2016
C00215,Customer 00215,General Trade,SME,Medium,14,RT0014,D003,R1,North,Abuja,2018
C00216,Customer 00216,General Trade,Micro,Small,14,RT0015,D003,R1,North,Abuja,2019
C00217,Customer 00217,General Trade,Micro,Medium,30,RT0015,D003,R1,North,Abuja,2017
C00218,Customer 00218,General Trade,Micro,Small,0,RT0015,D003,R1,North,Abuja,2016
C00219,Customer 00219,General Trade,Micro,Small,7,RT0015,D003,R1,North,Abuja,2018
C00220,Customer 00220,General Trade,Key Account,Medium,0,RT0015,D003,R1,North,Abuja,2022
C00221,Customer 00221,General Trade,SME,Medium,14,RT0015,D003,R1,North,Abuja,2020
C00222,Customer 00222,General Trade,SME,Medium,30,RT0015,D003,R1,North,Abuja,2021
C00223,Customer 00223,Modern Trade,Micro,Small,0,RT0015,D003,R1,North,Abuja,2021
C00224,Customer 00224,HoReCa,Mid-market,Medium,7,RT0015,D003,R1,North,Abuja,2020
C00225,Customer 00225,General Trade,SME,Medium,7,RT0015,D003,R1,North,Abuja,2021
C00226,Customer 00226,Wholesale,Micro,Small,14,RT0015,D003,R1,North,Abuja,2017
C00227,Customer 00227,E-commerce,Micro,Small,30,RT0015,D003,R1,North,Abuja,2020
C00228,Customer 00228,Modern Trade,Mid-market,Large,7,RT0015,D003,R1,North,Abuja,2022
C00229,Customer 00229,Wholesale,Micro,Small,14,RT0015,D003,R1,North,Abuja,2018
C00230,Customer 00230,General Trade,Mid-market,Large,14,RT0015,D003,R1,North,Abuja,2018
C00231,Customer 00231,General Trade,SME,Medium,14,RT0015,D003,R1,North,Abuja,2023
C00232,Customer 00232,General Trade,Micro,Medium,0,RT0015,D003,R1,North,Abuja,2023
C00233,Customer 00233,General Trade,Micro,Small,21,RT0015,D003,R1,North,Abuja,2023
C00234,Customer 00234,General Trade,Mid-market,Large,7,RT0016,D003,R1,North,Abuja,2016
C00235,Customer 00235,General Trade,Mid-market,Large,14,RT0016,D003,R1,North,Abuja,2023
C00236,Customer 00236,Modern Trade,SME,Small,21,RT0016,D003,R1,North,Abuja,2017
C00237,Customer 00237,HoReCa,Micro,Small,30,RT0016,D003,R1,North,Abuja,2022
C00238,Customer 00238,Modern Trade,Mid-market,Medium,21,RT0016,D003,R1,North,Abuja,2018
C00239,Customer 00239,General Trade,Micro,Small,14,RT0016,D003,R1,North,Abuja,2023
C00240,Customer 00240,Wholesale,Mid-market,Large,0,RT0016,D003,R1,North,Abuja,2016
C00241,Customer 00241,Modern Trade,SME,Small,21,RT0016,D003,R1,North,Abuja,2017
C00242,Customer 00242,General Trade,SME,Medium,14,RT0016,D003,R1,North,Abuja,2018
C00243,Customer 00243,General Trade,Mid-market,Small,21,RT0016,D003,R1,North,Abuja,2018
C00244,Customer 00244,General Trade,SME,Medium,14,RT0016,D003,R1,North,Abuja,2018
C00245,Customer 00245,General Trade,Mid-market,Small,14,RT0016,D003,R1,North,Abuja,2023
C00246,Customer 00246,Wholesale,Micro,Small,21,RT0016,D003,R1,North,Abuja,2019
C00247,Customer 00247,Modern Trade,SME,Small,14,RT0016,D003,R1,North,Abuja,2024
C00248,Customer 00248,General Trade,Mid-market,Medium,21,RT0016,D003,R1,North,Abuja,2021
C00249,Customer 00249,General Trade,SME,Small,0,RT0017,D003,R1,North,Abuja,2018
C00250,Customer 00250,E-commerce,Micro,Large,21,RT0017,D003,R1,North,Abuja,2017
C00251,Customer 00251,Modern Trade,SME,Medium,0,RT0017,D003,R1,North,Abuja,2020
C00252,Customer 00252,General Trade,SME,Medium,7,RT0017,D003,R1,North,Abuja,2019
C00253,Customer 00253,General Trade,SME,Medium,30,RT0017,D003,R1,North,Abuja,2024
C00254,Customer 00254,Wholesale,SME,Medium,14,RT0017,D003,R1,North,Abuja,2018
C00255,Customer 00255,Wholesale,Key Account,Large,21,RT0017,D003,R1,North,Abuja,2021
C00256,Customer 00256,Modern Trade,Micro,Medium,21,RT0017,D003,R1,North,Abuja,2016
C00257,Customer 00257,General Trade,Mid-market,Medium,14,RT0017,D003,R1,North,Abuja,2021
C00258,Customer 00258,General Trade,Mid-market,Medium,0,RT0017,D003,R1,North,Abuja,2016
C00259,Customer 00259,General Trade,Micro,Medium,7,RT0017,D003,R1,North,Abuja,2018
C00260,Customer 00260,General Trade,Micro,Medium,0,RT0017,D003,R1,North,Abuja,2017
C00261,Customer 00261,General Trade,SME,Medium,0,RT0017,D003,R1,North,Abuja,2016
C00262,Customer 00262,General Trade,Micro,Small,21,RT0017,D003,R1,North,Abuja,2021
C00263,Customer 00263,General Trade,Mid-market,Small,14,RT0017,D003,R1,North,Abuja,2022
C00264,Customer 00264,Modern Trade,SME,Small,30,RT0017,D003,R1,North,Abuja,2022
C00265,Customer 00265,E-commerce,SME,Small,30,RT0018,D003,R1,North,Abuja,2022
C00266,Customer 00266,Modern Trade,Mid-market,Medium,30,RT0018,D003,R1,North,Abuja,2018
C00267,Customer 00267,General Trade,SME,Small,14,RT0018,D003,R1,North,Abuja,2024
C00268,Customer 00268,General Trade,Mid-market,Small,30,RT0018,D003,R1,North,Abuja,2021
C00269,Customer 00269,General Trade,Micro,Medium,21,RT0018,D003,R1,North,Abuja,2023
C00270,Customer 00270,General Trade,Micro,Small,21,RT0018,D003,R1,North,Abuja,2022
C00271,Customer 00271,Wholesale,SME,Small,21,RT0018,D003,R1,North,Abuja,2024
C00272,Customer 00272,HoReCa,Key Account,Small,7,RT0018,D003,R1,North,Abuja,2022
C00273,Customer 00273,Wholesale,Mid-market,Medium,30,RT0018,D003,R1,North,Abuja,2022
C00274,Customer 00274,Modern Trade,SME,Small,14,RT0018,D003,R1,North,Abuja,2021
C00275,Customer 00275,Modern Trade,Micro,Medium,30,RT0018,D003,R1,North,Abuja,2017
C00276,Customer 00276,General Trade,Key Account,Medium,21,RT0018,D003,R1,North,Abuja,2024
C00277,Customer 00277,General Trade,SME,Medium,0,RT0018,D003,R1,North,Abuja,2020
C00278,Customer 00278,Wholesale,SME,Small,14,RT0018,D003,R1,North,Abuja,2022
C00279,Customer 00279,Modern Trade,Key Account,Large,0,RT0018,D003,R1,North,Abuja,2022
C00280,Customer 00280,General Trade,Micro,Small,7,RT0018,D003,R1,North,Abuja,2017
C00281,Customer 00281,General Trade,Micro,Large,7,RT0018,D003,R1,North,Abuja,2020
C00282,Customer 00282,Wholesale,Micro,Small,14,RT0018,D003,R1,North,Abuja,2019
C00283,Customer 00283,Modern Trade,Key Account,Medium,14,RT0018,D003,R1,North,Abuja,2022
C00284,Customer 00284,General Trade,SME,Small,14,RT0018,D003,R1,North,Abuja,2016
C00285,Customer 00285,Modern Trade,SME,Medium,21,RT0019,D003,R1,North,Abuja,2022
C00286,Customer 00286,General Trade,Micro,Small,0,RT0019,D003,R1,North,Abuja,2016
C00287,Customer 00287,General Trade,Micro,Medium,21,RT0019,D003,R1,North,Abuja,2020
C00288,Customer 00288,General Trade,Mid-market,Medium,7,RT0019,D003,R1,North,Abuja,2016
C00289,Customer 00289,General Trade,SME,Medium,30,RT0019,D003,R1,North,Abuja,2023
C00290,Customer 00290,Modern Trade,SME,Medium,30,RT0019,D003,R1,North,Abuja,2017
C00291,Customer 00291,General Trade,Micro,Small,14,RT0019,D003,R1,North,Abuja,2021
C00292,Customer 00292,General Trade,SME,Small,0,RT0019,D003,R1,North,Abuja,2016
