ReturnID,InvoiceID,SalesLineID,ReturnDate,ReturnDateKey,DistributorID,CustomerID,ProductID,ReturnQty,ReturnValue,ReturnReason
RET000020,INV0000845,LINE000002028,2024-01-23,20240123,D002,C00150,SKU011,4,9200.64,Damaged
RET000021,INV0000850,LINE000002045,2024-02-02,20240202,D011,C01025,SKU015,19,14780.83,Promo Return
RET000022,INV0000854,LINE000002055,2024-01-22,20240122,D011,C01048,SKU052,4,2722.16,Short-dated
RET000023,INV0000880,LINE000002117,2024-01-21,20240121,D013,C01153,SKU011,17,38723.78,Expired
RET000024,INV0000891,LINE000002148,2024-01-25,20240125,D004,C00333,SKU055,7,24474.79,Damaged
RET000025,INV0000891,LINE000002149,2024-02-04,20240204,D004,C00333,SKU017,7,21473.47,Damaged
RET000026,INV0000957,LINE000002281,2024-01-21,20240121,D009,C00788,SKU054,1,2343.93,Expired
RET000027,INV0000985,LINE000002352,2024-02-11,20240211,D010,C00870,SKU035,3,3311.47,Expired
RET000028,INV0001003,LINE000002391,2024-01-27,20240127,D015,C01331,SKU044,2,6354.9,Promo Return
RET000029,INV0001124,LINE000002639,2024-01-27,20240127,D013,C01143,SKU033,4,10955.68,Short-dated
RET000030,INV0001125,LINE000002642,2024-01-29,20240129,D001,C00019,SKU048,4,9189.95,Promo Return
RET000031,INV0001139,LINE000002675,2024-02-02,20240202,D009,C00795,SKU042,5,2141.12,Expired
RET000032,INV0001172,LINE000002754,2024-01-28,20240128,D001,C00033,SKU013,4,1652.87,Damaged
RET000033,INV0001264,LINE000002961,2024-02-08,20240208,D007,C00592,SKU013,3,1204.34,Wrong Item
RET000034,INV0001358,LINE000003189,2024-02-05,20240205,D014,C01261,SKU047,17,42723.19,Short-dated
RET000035,INV0001411,LINE000003304,2024-02-02,20240202,D006,C00553,SKU020,3,3937.93,Damaged
RET000036,INV0001430,LINE000003342,2024-02-01,20240201,D013,C01202,SKU027,4,4924.16,Damaged
RET000037,INV0001437,LINE000003356,2024-02-05,20240205,D015,C01330,SKU030,2,3832.1,Expired
RET000038,INV0001483,LINE000003460,2024-02-04,20240204,D003,C00217,SKU005,2,1099.39,Promo Return
RET000039,INV0001564,LINE000003656,2024-02-14,20240214,D002,C00162,SKU051,52,137736.44,Damaged
RET000040,INV0001567,LINE000003664,2024-02-07,20240207,D001,C00073,SKU024,12,40354.39,Short-dated
RET000041,INV0001611,LINE000003759,2024-02-09,20240209,D008,C00730,SKU042,2,842.6,Promo Return
RET000042,INV0001614,LINE000003767,2024-02-03,20240203,D016,C01396,SKU007,19,22522.86,Expired
RET000043,INV0001637,LINE000003824,2024-02-10,20240210,D005,C00410,SKU031,5,13091.61,Promo Return
RET000044,INV0001660,LINE000003873,2024-02-17,20240217,D013,C01156,SKU019,4,2337.56,Wrong Item
RET000045,INV0001660,LINE000003874,2024-02-04,20240204,D013,C01156,SKU025,6,18155.57,Promo Return
RET000046,INV0001673,LINE000003911,2024-02-11,20240211,D003,C00266,SKU013,9,3449.44,Wrong Item
RET000047,INV0001682,LINE000003934,2024-02-12,20240212,D008,C00729,SKU010,4,6003.34,Damaged
RET000048,INV0001692,LINE000003955,2024-02-05,20240205,D008,C00689,SKU007,6,7277.44,Damaged
RET000049,INV0001705,LINE000003989,2024-02-16,20240216,D003,C00232,SKU004,1,513.24,Promo Return
RET000050,INV0001719,LINE000004032,2024-02-18,20240218,D010,C00922,SKU047,33,84506.99,Expired
RET000051,INV0001816,LINE000004281,2024-02-12,20240212,D012,C01072,SKU008,3,2309.73,Expired
RET000052,INV0001864,LINE000004400,2024-02-10,20240210,D009,C00834,SKU010,5,7464.74,Expired
RET000053,INV0001886,LINE000004452,2024-02-09,20240209,D007,C00602,SKU012,5,2492.42,Short-dated
RET000054,INV0001897,LINE000004476,2024-02-10,20240210,D013,C01138,SKU041,13,9420.28,Short-dated
RET000055,INV0002056,LINE000004853,2024-02-12,20240212,D010,C00850,SKU005,1,539.78,Expired
RET000056,INV0002061,LINE000004865,2024-02-16,20240216,D007,C00656,SKU001,8,5392.2,Expired
RET000057,INV0002109,LINE000004975,2024-02-16,20240216,D009,C00768,SKU053,4,9415.68,Promo Return
RET000058,INV0002116,LINE000004986,2024-02-17,20240217,D011,C01015,SKU009,4,4300.33,Damaged
RET000059,INV0002134,LINE000005030,2024-02-22,20240222,D002,C00151,SKU025,8,23013.83,Customer Refusal
RET000060,INV0002215,LINE000005232,2024-02-21,20240221,D015,C01328,SKU019,3,1809.43,Damaged
RET000061,INV0002267,LINE000005342,2024-02-22,20240222,D003,C00268,SKU028,2,3175.69,Wrong Item
RET000062,INV0002274,LINE000005361,2024-02-15,20240215,D011,C01034,SKU014,1,1201.56,Wrong Item
RET000063,INV0002275,LINE000005362,2024-02-16,20240216,D016,C01433,SKU011,4,9090.19,Expired
RET000064,INV0002283,LINE000005377,2024-02-26,20240226,D013,C01150,SKU004,36,18735.13,Damaged
RET000065,INV0002296,LINE000005406,2024-02-26,20240226,D010,C00921,SKU016,20,11777.22,Customer Refusal
RET000066,INV0002385,LINE000005616,2024-03-04,20240304,D006,C00526,SKU055,11,37728.14,Customer Refusal
RET000067,INV0002428,LINE000005727,2024-02-19,20240219,D001,C00032,SKU018,59,43318.03,Short-dated
RET000068,INV0002522,LINE000005948,2024-02-22,20240222,D017,C01484,SKU031,1,2708.91,Wrong Item
RET000069,INV0002537,LINE000005981,2024-03-02,20240302,D013,C01206,SKU045,55,50543.49,Customer Refusal
RET000070,INV0002546,LINE000006002,2024-02-21,20240221,D001,C00047,SKU029,5,10191.63,Damaged
RET000071,INV0002678,LINE000006329,2024-02-28,20240228,D013,C01153,SKU056,47,64073.48,Expired
RET000072,INV0002688,LINE000006354,2024-03-14,20240314,D015,C01324,SKU019,4,2448.25,Damaged
RET000073,INV0002739,LINE000006470,2024-02-27,20240227,D016,C01415,SKU025,34,100552.55,Damaged
RET000074,INV0002741,LINE000006476,2024-02-25,20240225,D012,C01108,SKU057,3,3781.38,Wrong Item
RET000075,INV0002760,LINE000006523,2024-03-02,20240302,D011,C00981,SKU009,5,5390.74,Customer Refusal
RET000076,INV0002767,LINE000006541,2024-02-26,20240226,D011,C00989,SKU004,1,520.46,Wrong Item
RET000077,INV0002769,LINE000006545,2024-03-09,20240309,D014,C01217,SKU014,2,2386.31,Expired
RET000078,INV0002779,LINE000006565,2024-02-25,20240225,D001,C00044,SKU034,1,3403.64,Promo Return
RET000079,INV0002831,LINE000006673,2024-03-03,20240303,D010,C00914,SKU052,2,1428.96,Expired
RET000080,INV0002847,LINE000006715,2024-03-01,20240301,D009,C00808,SKU009,4,4316.07,Short-dated
RET000081,INV0003020,LINE000007135,2024-03-04,20240304,D009,C00740,SKU027,10,11502.75,Damaged
RET000082,INV0003023,LINE000007146,2024-03-12,20240312,D016,C01382,SKU050,36,56620.35,Expired
RET000083,INV0003054,LINE000007212,2024-03-04,20240304,D010,C00863,SKU002,3,1892.35,Damaged
RET000084,INV0003066,LINE000007242,2024-03-18,20240318,D002,C00135,SKU022,3,2124.56,Damaged
RET000085,INV0003076,LINE000007261,2024-03-13,20240313,D008,C00675,SKU031,2,5357.67,Short-dated
RET000086,INV0003133,LINE000007406,2024-03-09,20240309,D008,C00723,SKU016,9,5592.83,Customer Refusal
RET000087,INV0003150,LINE000007451,2024-03-10,20240310,D011,C00946,SKU056,31,42961.69,Customer Refusal
RET000088,INV0003151,LINE000007457,2024-03-06,20240306,D004,C00315,SKU054,4,9360.88,Customer Refusal
RET000089,INV0003162,LINE000007483,2024-03-05,20240305,D005,C00432,SKU032,67,32275.74,Damaged
RET000090,INV0003216,LINE000007599,2024-03-09,20240309,D015,C01340,SKU047,2,5012.78,Customer Refusal
RET000091,INV0003217,LINE000007602,2024-03-07,20240307,D002,C00132,SKU035,1,1053.58,Damaged
RET000092,INV0003601,LINE000008463,2024-04-02,20240402,D003,C00283,SKU028,44,65630.94,Damaged
RET000093,INV0003621,LINE000008510,2024-03-25,20240325,D002,C00121,SKU036,2,2668.68,Promo Return
RET000094,INV0003637,LINE000008556,2024-03-18,20240318,D013,C01192,SKU040,5,5987.98,Promo Return
RET000095,INV0003807,LINE000008957,2024-03-23,20240323,D015,C01367,SKU034,3,10037.3,Wrong Item
RET000096,INV0003814,LINE000008979,2024-03-22,20240322,D015,C01338,SKU037,25,14160.0,Customer Refusal
RET000097,INV0003832,LINE000009017,2024-04-01,20240401,D009,C00776,SKU030,3,5797.27,Expired
RET000098,INV0003890,LINE000009143,2024-03-22,20240322,D001,C00086,SKU017,4,12400.28,Damaged
RET000099,INV0003910,LINE000009193,2024-03-18,20240318,D013,C01162,SKU046,3,5146.47,Short-dated
RET000100,INV0003922,LINE000009216,2024-03-22,20240322,D012,C01112,SKU021,3,1598.51,Wrong Item
RET000101,INV0003925,LINE000009224,2024-03-19,20240319,D017,C01512,SKU014,5,5191.27,Damaged
RET000102,INV0003935,LINE000009245,2024-03-23,20240323,D011,C01044,SKU008,8,5943.55,Customer Refusal
RET000103,INV0003954,LINE000009289,2024-03-19,20240319,D005,C00388,SKU026,5,4930.82,Expired
RET000104,INV0003978,LINE000009342,2024-03-22,20240322,D011,C00959,SKU022,1,726.04,Wrong Item
RET000105,INV0003986,LINE000009363,2024-03-21,20240321,D005,C00480,SKU012,2,1002.95,Expired
RET000106,INV0003996,LINE000009388,2024-03-23,20240323,D003,C00281,SKU019,5,3154.95,Short-dated
RET000107,INV0003997,LINE000009389,2024-03-20,20240320,D004,C00320,SKU059,2,1720.28,Wrong Item
RET000108,INV0004020,LINE000009443,2024-03-22,20240322,D013,C01186,SKU002,18,11161.31,Damaged
RET000109,INV0004028,LINE000009454,2024-03-22,20240322,D011,C01005,SKU051,19,47091.45,Damaged
RET000110,INV0004046,LINE000009504,2024-04-10,20240410,D009,C00823,SKU009,6,5869.93,Expired
RET000111,INV0004125,LINE000009694,2024-03-23,20240323,D013,C01136,SKU020,1,1346.5,Damaged
RET000112,INV0004126,LINE000009695,2024-04-03,20240403,D017,C01476,SKU007,2,2390.22,Expired
RET000113,INV0004133,LINE000009718,2024-03-24,20240324,D003,C00200,SKU008,3,2277.81,Short-dated
RET000114,INV0004298,LINE000010084,2024-04-08,20240408,D010,C00870,SKU001,3,2016.71,Wrong Item
RET000115,INV0004304,LINE000010100,2024-03-31,20240331,D014,C01217,SKU055,4,13740.78,Expired
RET000116,INV0004315,LINE000010128,2024-04-15,20240415,D017,C01479,SKU041,1,768.01,Wrong Item
RET000117,INV0004367,LINE000010256,2024-03-27,20240327,D006,C00564,SKU029,6,11259.95,Damaged
RET000118,INV0004381,LINE000010284,2024-04-01,20240401,D004,C00316,SKU032,1,498.76,Promo Return
RET000119,INV0004391,LINE000010307,2024-04-01,20240401,D001,C00014,SKU058,2,2652.66,Damaged
RET000120,INV0004472,LINE000010485,2024-03-29,20240329,D013,C01169,SKU026,8,7614.66,Promo Return
RET000121,INV0004532,LINE000010618,2024-04-01,20240401,D013,C01128,SKU028,87,132589.7,Damaged
RET000122,INV0004561,LINE000010684,2024-04-02,20240402,D010,C00878,SKU034,2,6737.27,Expired
RET000123,INV0004583,LINE000010726,2024-04-07,20240407,D015,C01350,SKU029,5,10098.89,Damaged
RET000124,INV0004585,LINE000010733,2024-04-09,20240409,D011,C01043,SKU022,4,2768.44,Damaged
RET000125,INV0004605,LINE000010782,2024-04-05,20240405,D014,C01272,SKU023,4,7540.13,Expired
RET000126,INV0004606,LINE000010784,2024-04-21,20240421,D006,C00495,SKU038,4,6990.17,Short-dated
RET000127,INV0004633,LINE000010853,2024-04-02,20240402,D009,C00837,SKU056,22,29953.59,Short-dated
RET000128,INV0004653,LINE000010886,2024-04-15,20240415,D004,C00356,SKU059,2,1730.12,Short-dated
RET000129,INV0004667,LINE000010926,2024-04-05,20240405,D001,C00007,SKU042,7,2996.58,Customer Refusal
RET000130,INV0004686,LINE000010974,2024-04-03,20240403,D017,C01513,SKU013,5,2077.52,Expired
RET000131,INV0004693,LINE000010989,2024-04-07,20240407,D002,C00136,SKU028,4,6187.25,Short-dated
RET000132,INV0004737,LINE000011085,2024-04-17,20240417,D012,C01083,SKU016,3,1905.22,Wrong Item
RET000133,INV0004798,LINE000011203,2024-04-06,20240406,D017,C01487,SKU055,8,26488.19,Expired
RET000134,INV0004839,LINE000011304,2024-04-09,20240409,D012,C01058,SKU045,2,1856.63,Expired
RET000135,INV0004858,LINE000011347,2024-04-25,20240425,D011,C01052,SKU040,4,4947.54,Wrong Item
RET000136,INV0004886,LINE000011423,2024-04-26,20240426,D013,C01146,SKU054,5,10605.19,Expired
RET000137,INV0004914,LINE000011490,2024-04-07,20240407,D011,C00951,SKU023,2,3303.62,Wrong Item
RET000138,INV0004927,LINE000011521,2024-04-10,20240410,D010,C00916,SKU006,3,4672.33,Expired
RET000139,INV0004993,LINE000011689,2024-04-27,20240427,D013,C01188,SKU030,3,5571.31,Damaged
RET000140,INV0005014,LINE000011734,2024-04-09,20240409,D001,C00101,SKU059,1,847.6,Customer Refusal
RET000141,INV0005026,LINE000011762,2024-04-17,20240417,D011,C00957,SKU051,37,94840.69,Customer Refusal
RET000142,INV0005042,LINE000011798,2024-04-11,20240411,D008,C00727,SKU056,3,4058.69,Wrong Item
RET000143,INV0005067,LINE000011869,2024-04-22,20240422,D013,C01146,SKU032,8,4095.8,Expired
RET000144,INV0005103,LINE000011951,2024-04-30,20240430,D001,C00075,SKU012,9,4504.57,Damaged
RET000145,INV0005180,LINE000012126,2024-04-16,20240416,D007,C00618,SKU023,3,5583.52,Damaged
RET000146,INV0005331,LINE000012475,2024-04-16,20240416,D016,C01429,SKU009,3,3154.36,Damaged
RET000147,INV0005340,LINE000012500,2024-04-26,20240426,D016,C01414,SKU021,3,1616.75,Expired
RET000148,INV0005369,LINE000012565,2024-04-16,20240416,D013,C01197,SKU036,4,5263.7,Damaged
RET000149,INV0005452,LINE000012755,2024-04-17,20240417,D017,C01470,SKU031,3,8137.71,Expired
RET000150,INV0005466,LINE000012795,2024-04-30,20240430,D012,C01058,SKU046,7,12263.99,Damaged
RET000151,INV0005530,LINE000012962,2024-04-20,20240420,D016,C01416,SKU060,18,17896.43,Promo Return
RET000152,INV0005553,LINE000013011,2024-04-21,20240421,D007,C00668,SKU045,2,1923.22,Short-dated
RET000153,INV0005560,LINE000013030,2024-04-20,20240420,D011,C00951,SKU008,9,6919.58,Damaged
RET000154,INV0005661,LINE000013255,2024-05-02,20240502,D002,C00111,SKU044,2,6412.66,Damaged
RET000155,INV0005666,LINE000013269,2024-04-21,20240421,D014,C01212,SKU014,18,21317.12,Damaged
RET000156,INV0005702,LINE000013356,2024-04-22,20240422,D017,C01472,SKU007,3,3753.86,Customer Refusal
RET000157,INV0005718,LINE000013403,2024-04-22,20240422,D010,C00870,SKU008,11,8385.21,Damaged
RET000158,INV0005731,LINE000013433,2024-04-22,20240422,D013,C01203,SKU059,6,5273.0,Customer Refusal
RET000159,INV0005748,LINE000013477,2024-05-05,20240505,D003,C00221,SKU055,5,17104.94,Damaged
RET000160,INV0005749,LINE000013479,2024-05-06,20240506,D011,C01038,SKU032,17,8054.7,Short-dated
RET000161,INV0005778,LINE000013556,2024-04-28,20240428,D008,C00709,SKU036,80,100289.25,Damaged
RET000162,INV0005795,LINE000013600,2024-04-22,20240422,D017,C01450,SKU001,17,10890.78,Damaged
RET000163,INV0005797,LINE000013607,2024-04-26,20240426,D009,C00824,SKU028,3,4580.91,Promo Return
RET000164,INV0005827,LINE000013684,2024-05-06,20240506,D002,C00110,SKU029,5,10083.84,Damaged
RET000165,INV0005889,LINE000013853,2024-04-26,20240426,D013,C01170,SKU048,2,4670.54,Damaged
RET000166,INV0005943,LINE000013963,2024-05-08,20240508,D012,C01059,SKU033,3,8229.19,Customer Refusal
RET000167,INV0005948,LINE000013973,2024-04-25,20240425,D011,C01012,SKU010,5,7607.99,Expired
RET000168,INV0006078,LINE000014256,2024-05-02,20240502,D001,C00047,SKU017,3,9276.66,Customer Refusal
RET000169,INV0006093,LINE000014284,2024-05-06,20240506,D014,C01272,SKU045,5,4651.77,Short-dated
RET000170,INV0006116,LINE000014336,2024-04-29,20240429,D015,C01348,SKU048,4,8972.51,Damaged
RET000171,INV0006119,LINE000014348,2024-04-30,20240430,D007,C00649,SKU027,12,14079.7,Damaged
RET000172,INV0006121,LINE000014351,2024-04-26,20240426,D008,C00706,SKU006,6,8960.39,Customer Refusal
RET000173,INV0006160,LINE000014434,2024-05-07,20240507,D002,C00122,SKU001,7,4594.53,Damaged
RET000174,INV0006190,LINE000014507,2024-04-29,20240429,D008,C00723,SKU023,21,38786.6,Wrong Item
RET000175,INV0006200,LINE000014526,2024-05-01,20240501,D009,C00734,SKU018,2,1528.55,Wrong Item
RET000176,INV0006261,LINE000014673,2024-05-05,20240505,D002,C00150,SKU032,1,512.74,Short-dated
RET000177,INV0006403,LINE000015002,2024-05-03,20240503,D001,C00001,SKU009,1,1075.63,Expired
RET000178,INV0006438,LINE000015085,2024-05-14,20240514,D007,C00600,SKU002,6,3750.18,Damaged
RET000179,INV0006452,LINE000015118,2024-05-25,20240525,D009,C00746,SKU059,9,7790.33,Damaged
RET000180,INV0006482,LINE000015198,2024-05-08,20240508,D004,C00351,SKU009,6,6315.93,Damaged
RET000181,INV0006489,LINE000015213,2024-05-06,20240506,D008,C00714,SKU042,9,3641.12,Expired
RET000182,INV0006516,LINE000015271,2024-05-05,20240505,D013,C01166,SKU023,1,1871.52,Short-dated
RET000183,INV0006526,LINE000015295,2024-05-06,20240506,D010,C00877,SKU013,8,3283.61,Damaged
RET000184,INV0006536,LINE000015316,2024-05-06,20240506,D006,C00556,SKU059,2,1719.37,Wrong Item
RET000185,INV0006539,LINE000015325,2024-05-27,20240527,D004,C00313,SKU052,2,1353.39,Wrong Item
RET000186,INV0006633,LINE000015539,2024-05-15,20240515,D012,C01083,SKU019,3,1867.47,Wrong Item
RET000187,INV0006665,LINE000015625,2024-05-12,20240512,D009,C00812,SKU024,3,10598.99,Short-dated
RET000188,INV0006696,LINE000015691,2024-05-14,20240514,D006,C00526,SKU009,4,4154.81,Damaged
RET000189,INV0006784,LINE000015894,2024-05-23,20240523,D011,C00999,SKU025,1,3053.52,Wrong Item
RET000190,INV0006860,LINE000016075,2024-05-12,20240512,D008,C00707,SKU005,5,2794.21,Short-dated
RET000191,INV0006886,LINE000016125,2024-05-11,20240511,D007,C00622,SKU027,9,11362.95,Damaged
RET000192,INV0006914,LINE000016188,2024-05-11,20240511,D009,C00827,SKU003,2,1006.22,Expired
RET000193,INV0006923,LINE000016217,2024-05-15,20240515,D004,C00342,SKU039,29,86876.32,Promo Return
RET000194,INV0007075,LINE000016575,2024-05-21,20240521,D007,C00603,SKU056,1,1375.17,Promo Return
RET000195,INV0007082,LINE000016601,2024-05-18,20240518,D010,C00877,SKU026,6,6096.04,Expired
RET000196,INV0007227,LINE000016921,2024-05-23,20240523,D016,C01423,SKU013,2,812.79,Damaged
RET000197,INV0007233,LINE000016939,2024-05-21,20240521,D002,C00115,SKU038,2,3413.62,Damaged
RET000198,INV0007269,LINE000017025,2024-06-09,20240609,D016,C01377,SKU026,8,8101.81,Damaged
RET000199,INV0007282,LINE000017061,2024-05-20,20240520,D009,C00802,SKU018,52,38494.78,Promo Return
RET000200,INV0007290,LINE000017079,2024-05-18,20240518,D007,C00639,SKU055,1,3468.41,Customer Refusal
RET000201,INV0007329,LINE000017165,2024-05-29,20240529,D008,C00674,SKU020,18,23751.38,Promo Return
RET000202,INV0007352,LINE000017215,2024-05-25,20240525,D011,C01016,SKU034,5,15751.48,Promo Return
RET000203,INV0007367,LINE000017246,2024-05-20,20240520,D016,C01400,SKU010,2,2952.8,Damaged
RET000204,INV0007457,LINE000017474,2024-05-21,20240521,D009,C00790,SKU056,1,1410.75,Damaged
RET000205,INV0007514,LINE000017620,2024-06-04,20240604,D016,C01421,SKU039,4,12413.89,Damaged
RET000206,INV0007594,LINE000017806,2024-05-29,20240529,D007,C00620,SKU012,2,988.06,Damaged
RET000207,INV0007623,LINE000017874,2024-06-03,20240603,D001,C00098,SKU052,2,1369.01,Wrong Item
RET000208,INV0007624,LINE000017882,2024-06-04,20240604,D006,C00557,SKU026,4,3897.6,Damaged
RET000209,INV0007727,LINE000018104,2024-05-31,20240531,D004,C00336,SKU026,83,79982.64,Expired
RET000210,INV0007736,LINE000018126,2024-05-28,20240528,D014,C01242,SKU044,3,9685.29,Damaged
RET000211,INV0007746,LINE000018140,2024-05-29,20240529,D008,C00685,SKU004,9,4620.0,Damaged
RET000212,INV0007857,LINE000018408,2024-06-18,20240618,D016,C01408,SKU060,3,3103.05,Damaged
RET000213,INV0007904,LINE000018509,2024-06-03,20240603,D009,C00775,SKU034,3,9867.65,Expired
RET000214,INV0007971,LINE000018661,2024-06-12,20240612,D005,C00411,SKU015,4,3311.65,Short-dated
RET000215,INV0008033,LINE000018802,2024-06-07,20240607,D008,C00722,SKU040,15,17648.74,Damaged
RET000216,INV0008053,LINE000018844,2024-06-08,20240608,D011,C00951,SKU003,6,3094.98,Short-dated
RET000217,INV0008122,LINE000019019,2024-06-16,20240616,D006,C00541,SKU047,7,18279.24,Customer Refusal
RET000218,INV0008136,LINE000019055,2024-06-03,20240603,D017,C01469,SKU047,38,97702.59,Customer Refusal
RET000219,INV0008152,LINE000019097,2024-06-05,20240605,D008,C00724,SKU026,3,3013.74,Expired
RET000220,INV0008195,LINE000019199,2024-06-25,20240625,D011,C01017,SKU045,73,64824.24,Short-dated
RET000221,INV0008219,LINE000019259,2024-06-08,20240608,D014,C01231,SKU002,7,4150.7,Promo Return
RET000222,INV0008240,LINE000019301,2024-06-25,20240625,D003,C00270,SKU015,4,3329.31,Damaged
RET000223,INV0008354,LINE000019523,2024-06-08,20240608,D008,C00717,SKU024,2,6973.04,Short-dated
RET000224,INV0008367,LINE000019547,2024-06-13,20240613,D001,C00002,SKU027,28,34092.83,Expired
RET000225,INV0008426,LINE000019680,2024-06-12,20240612,D017,C01441,SKU016,11,6763.65,Damaged
RET000226,INV0008434,LINE000019698,2024-06-20,20240620,D005,C00409,SKU012,7,3270.19,Promo Return
RET000227,INV0008452,LINE000019746,2024-06-09,20240609,D015,C01356,SKU025,1,2993.58,Promo Return
RET000228,INV0008459,LINE000019758,2024-06-30,20240630,D002,C00135,SKU038,8,14014.71,Customer Refusal
RET000229,INV0008518,LINE000019910,2024-06-08,20240608,D017,C01508,SKU016,18,11366.6,Wrong Item
RET000230,INV0008543,LINE000019970,2024-06-14,20240614,D001,C00087,SKU048,89,200192.42,Expired
RET000231,INV0008638,LINE000020205,2024-06-18,20240618,D006,C00507,SKU024,3,10689.7,Promo Return
RET000232,INV0008655,LINE000020246,2024-06-16,20240616,D004,C00334,SKU029,2,4101.84,Expired
RET000233,INV0008661,LINE000020261,2024-06-23,20240623,D005,C00415,SKU017,8,25114.3,Customer Refusal
RET000234,INV0008673,LINE000020283,2024-06-17,20240617,D014,C01283,SKU008,2,1550.03,Short-dated
RET000235,INV0008675,LINE000020290,2024-07-02,20240702,D012,C01070,SKU057,9,10901.76,Damaged
RET000236,INV0008707,LINE000020369,2024-06-15,20240615,D010,C00844,SKU021,18,9528.06,Expired
RET000237,INV0008716,LINE000020391,2024-06-17,20240617,D011,C00992,SKU012,2,1004.35,Damaged
RET000238,INV0008774,LINE000020519,2024-06-18,20240618,D015,C01340,SKU035,4,4182.82,Damaged
RET000239,INV0008857,LINE000020705,2024-06-20,20240620,D003,C00213,SKU009,4,4013.42,Expired
RET000240,INV0008927,LINE000020859,2024-06-18,20240618,D017,C01510,SKU024,2,6994.66,Promo Return
RET000241,INV0008961,LINE000020939,2024-06-16,20240616,D017,C01513,SKU060,3,3148.86,Damaged
RET000242,INV0008965,LINE000020955,2024-06-21,20240621,D017,C01483,SKU050,2,3278.54,Expired
RET000243,INV0008974,LINE000020979,2024-06-30,20240630,D011,C00972,SKU002,2,1209.4,Expired
RET000244,INV0008976,LINE000020986,2024-06-27,20240627,D013,C01199,SKU003,6,3051.85,Expired
RET000245,INV0009056,LINE000021181,2024-07-09,20240709,D003,C00230,SKU056,3,4111.29,Damaged
RET000246,INV0009123,LINE000021326,2024-06-22,20240622,D001,C00066,SKU021,2,1057.14,Promo Return
RET000247,INV0009173,LINE000021444,2024-06-22,20240622,D005,C00449,SKU027,6,7492.36,Short-dated
RET000248,INV0009268,LINE000021684,2024-06-23,20240623,D011,C00952,SKU017,6,18246.34,Damaged
RET000249,INV0009303,LINE000021767,2024-06-29,20240629,D010,C00884,SKU009,9,9215.64,Customer Refusal
RET000250,INV0009342,LINE000021862,2024-06-26,20240626,D005,C00380,SKU026,53,51844.65,Damaged
RET000251,INV0009361,LINE000021902,2024-06-28,20240628,D017,C01467,SKU013,2,819.77,Expired
RET000252,INV0009367,LINE000021911,2024-06-28,20240628,D003,C00220,SKU034,5,16229.28,Expired
RET000253,INV0009373,LINE000021925,2024-06-29,20240629,D004,C00334,SKU035,11,12112.67,Damaged
RET000254,INV0009389,LINE000021961,2024-06-29,20240629,D015,C01317,SKU060,3,2887.21,Customer Refusal
RET000255,INV0009491,LINE000022199,2024-06-29,20240629,D005,C00402,SKU018,37,27551.07,Wrong Item
RET000256,INV0009544,LINE000022326,2024-07-01,20240701,D010,C00906,SKU016,1,627.81,Wrong Item
RET000257,INV0009559,LINE000022362,2024-07-06,20240706,D003,C00256,SKU033,10,25333.62,Promo Return
RET000258,INV0009580,LINE000022412,2024-06-29,20240629,D004,C00307,SKU046,26,42964.54,Expired
